,Name,Freq
0,ms,74
1,williams,71
2,muthambi,22
3,maseko,17
4,diphoko,9
5,maleka,6
6,chairperson,6
7,chair,5
8,ja,5
9,momeko,5
10,pretorius,4
11,hlongwane,4
12,dlodlo,4
13,general,4
14,dludlu,4
15,brown,3
16,donald,3
17,mnonopi,2
18,lynne,2
19,gupta,2
20,chabani,2
21,dr,2
22,type:,2
23,value:,2
24,semakane,2
25,zweli,2
26,advocate,1
27,helens,1
28,ajay,1
29,jonas,1
30,duduzane,1
31,zuma,1
32,jaap,1
33,cilliers,1
34,fana,1
35,esteemed,1
36,simmy,1
37,lebala,1
38,mrs,1
39,henry,1
40,cowley,1
41,attorneys,1
42,kuanda,1
43,makwena,1
44,hellens,1
45,ministers,1
46,radebe,1
47,maleke,1
48,hellman,1
49,kaufmann,1
50,"org,",1
51,chairpersonsignificance,1
52,hofmeyer,1
53,"fac,",1
54,chairpersonconnected,1
55,20,1
56,ayanda,1
57,cabinet,1
58,spokesperson,1
59,officer,1
60,zwele,1
61,joel,1
62,netshitenzhe,1
63,themba,1
64,hofmeyer.,1
65,zukiswa,1
66,porco,1
67,hoffmeyer,1
68,handbook,1
69,am,1
70,momberg,1
71,okay/,1
