,Name,Freq
0,van,88
1,rooyen,87
2,bhobat,82
3,maleka,41
4,jonas,29
5,fuzile,23
6,whitley,23
7,gordhan,20
8,chair,18
9,ian,14
10,godongwana,11
11,manuel,8
12,nene,7
13,marlon,7
14,wood,7
15,mabaso,6
16,chairperson,5
17,mohamed,5
18,ms,4
19,malcolm,4
20,mogajane,4
21,eric,4
22,norman,3
23,mokoena,3
24,minster,3
25,matanda,3
26,page,3
27,williams,3
28,gupta,3
29,geswint,3
30,gmail,3
31,pretorius,2
32,stanley,2
33,ja,2
34,lungisa,2
35,ramuntsha,2
36,nkwinti,2
37,kenneth,2
38,brown,2
39,bloomberg,1
40,indices,1
41,des,1
42,mahayana,1
43,maxanda,1
44,mann,1
45,bobbitt,1
46,mtanda,1
47,designate,1
48,rooyen's,1
49,kganyago,1
50,gigaba,1
51,buthelezi,1
52,study,1
53,mngomezulu,1
54,monale,1
55,ratsoma,1
56,10,1
57,kaufmann,1
58,tsibedi,1
59,enoch,1
60,andrew,1
61,donaldson,1
62,pravin,1
63,moleketi,1
64,jabu,1
65,professor,1
66,niemöller,1
67,themba,1
68,maseko,1
