,Name,Freq
0,watson,96
1,gavin,89
2,mofokeng,35
3,pretorius,26
4,simon,23
5,ja,22
6,chair,19
7,mansell,17
8,agrizzi,11
9,dyambu,10
10,jurgen,10
11,mohema,10
12,smith,9
13,mapisa,9
14,danny,8
15,dutton,7
16,gumede,7
17,molope,7
18,tambo,7
19,van,6
20,ciopella,6
21,mantata,6
22,bashir,6
23,angelo,5
24,patrick,5
25,page,5
26,gupta,4
27,kloof,4
28,sadie,3
29,smit,3
30,zyl,3
31,maine,3
32,gold,3
33,sidney,3
34,sivhewe,3
35,jo,3
36,jacques,3
37,myeni,2
38,gauteng,2
39,danie,2
40,liebenberg,2
41,david,2
42,mine,2
43,tonder,2
44,daniel,2
45,tony,2
46,perry,2
47,fana,2
48,hlongwana,2
49,sasol,2
50,mandla,2
51,johnson,2
52,vovo,2
53,thanda,2
54,des,1
55,rooyen,1
56,deputy,1
57,ministers,1
58,frank,1
59,dudu,1
60,gillingham,1
61,14,1
62,mikey,1
63,schultz,1
64,port,1
65,elizabeth,1
66,fanie,1
67,charles,1
68,freelander,1
69,6.14,1
70,jackson,1
71,mafeka,1
72,leon,1
73,john,1
74,cheeky,1
75,joseph,1
76,clarify,1
77,meritum,1
78,phezulu,1
79,fencing,1
80,petrus,1
81,venter,1
82,20,1
83,peter,1
84,mokaba,1
85,thalante,1
86,girly,1
87,pikoli,1
88,watso-to-day,1
89,16,1
90,lindele,1
91,fields,1
92,harmony,1
93,10,1
94,mines,1
95,mining,1
96,brandspruit,1
97,proceed,1
98,maureen,1
99,johan,1
100,viljoen,1
101,104,1
102,manyatsi,1
103,johannes,1
104,ronny,1
105,valance,1
106,tede,1
107,caesar,1
108,tando,1
109,messrs,1
110,118,1
111,ruben,1
112,pillay,1
113,serobe,1
114,mohammed,1
115,mashir,1
116,133,1
117,138,1
118,annexures,1
