,Name,Freq
0,maseko,67
1,gupta,26
2,chair,13
3,maleka,11
4,ja,8
5,tyron,8
6,chairperson,7
7,ms,7
8,mentor,6
9,mtolo,6
10,govender,6
11,saxonwold,5
12,masilela,5
13,mantashe,4
14,captain,4
15,ajay,4
16,zuma,3
17,statement,3
18,brigadier,3
19,general,3
20,pravin,3
21,gordhan,3
22,ngoako,3
23,ramathlodi,3
24,motlanthe,3
25,basie,2
26,badie,2
27,mmh,2
28,williams,2
29,curriculum,2
30,vitae,2
31,gwede,2
32,generals,2
33,frank,2
34,chikane,2
35,bergelda,2
36,vusi,2
37,picolli,2
38,kgalema,2
39,pardon,2
40,mm,2
41,morning,1
42,main,1
43,bundle,1
44,page,1
45,kaunda,1
46,advocate,1
47,kanyane,1
48,intervention,1
49,application,1
50,sello,1
51,type:,1
52,"org,",1
53,value:,1
54,chairpersonbecause,1
55,supplementary,1
56,spar,1
57,mandla,1
58,pahlane,1
59,brigadies,1
60,vieri,1
61,chapter,1
62,adv,1
63,vogel,1
64,james,1
65,phumla,1
66,janelle,1
67,nkloko,1
68,rev,1
69,ref,1
70,tosi,1
71,gwanya,1
72,roger,1
73,jardine,1
74,yoliswa,1
75,sibeko,1
76,lindell,1
77,shope,1
78,mafone,1
79,morphe,1
80,jacob,1
81,mark,1
82,influence,1
83,10,1
84,ministers,1
85,inquiry,1
86,middle,1
87,managers,1
88,cyril,1
89,ramaphosa,1
90,annex,1
91,the,1
92,minister,1
93,of,1
94,finance,1
95,twitter,1
96,sworn,1
97,progasen,1
98,jonas,1
99,public,1
100,works,1
101,headquarters,1
102,mulaudzi,1
103,lebeya,1
104,compound,1
