,Name,Freq
0,brown,20
1,zwane,17
2,gupta,11
3,howa,10
4,hellman,8
5,kellerman,7
6,exco,5
7,ms,5
8,morgan,5
9,chair,5
10,pretorius,4
11,muthambi,4
12,dr,3
13,kaufmann,3
14,nazeem,3
15,gordhan,3
16,cockrell,2
17,michael,2
18,william,2
19,thomas,2
20,bredenkamp,2
21,mrs,2
22,herbert,2
23,mkhize,2
24,joel,2
25,mike,1
26,alfred,1
27,advocate,1
28,nene,1
29,investments,1
30,sahara,1
31,computers,1
32,nath,1
33,jeff,1
34,radebe,1
35,gwede,1
36,mantashe,1
37,jesse,1
38,duarte,1
39,enoch,1
40,godongwana,1
41,buckley,1
42,anna,1
43,isaac,1
44,legal,1
45,counsel,1
46,sinton,1
47,zarina,1
48,faith,1
49,zwanele,1
50,manyi,1
51,mildred,1
52,oliphant,1
53,virgil,1
54,seafield,1
55,zerina,1
56,daniel,1
57,george,1
58,stigler,1
59,statnecessarily,1
60,constitutions,1
61,statoil,1
62,kuczynski,1
63,fujimori,1
64,montesinos,1
65,garcia,1
66,bush,1
67,obama,1
68,norman,1
69,muller,1
