,Name,Freq
0,ms,70
1,williams,65
2,muthambi,40
3,maseko,18
4,kaufmann,13
5,lepoko,11
6,hellman,11
7,general,6
8,buthelezi,6
9,netshitenzhe,5
10,honourable,5
11,gift,5
12,chair,4
13,joel,4
14,faith,4
15,radebe,4
16,pretorius,4
17,themba,3
18,chabane,3
19,donald,3
20,the,3
21,supplier,3
22,dr,3
23,zwanele,2
24,hofmeyer,2
25,michael,2
26,chain,2
27,jeff,2
28,ayanda,2
29,dlodlo,2
30,dean,2
31,morning,1
32,miriam,1
33,phumla,1
34,gauteng,1
35,vuku,1
36,zinzele,1
37,manyi,1
38,curri,1
39,currin,1
40,penelope,1
41,mtuli,1
42,matupe,1
43,thusi,1
44,zuki,1
45,zwapotye,1
46,strategy,1
47,planning,1
48,chairperson,1
49,joe,1
50,diphoko,1
51,williamscircumstances,1
52,procurement,1
53,type:,1
54,"org,",1
55,value:,1
56,chairpersonthank,1
57,chains,1
58,receiving,1
59,31,1
60,chambane,1
61,fillerman,1
62,inconsistent,1
63,minister,1
64,gitto,1
65,menzakani,1
66,semekane,1
67,sitko,1
68,metsamekani,1
69,10,1
70,lekgotla,1
71,jeffrey,1
72,harold,1
73,maluka,1
74,nable,1
75,mgwape,1
76,daniel,1
77,doctors,1
78,odebrecht,1
79,mafias,1
80,fujimori,1
81,kuczynski,1
82,obama,1
83,paul,1
84,gcabashe,1
85,statol,1
