,Name,Freq
0,atul,25
1,saxonwold,18
2,gupta,17
3,ja,12
4,ms,11
5,page,11
6,chair,10
7,zuma,9
8,hlongwane,9
9,rajesh,8
10,barbara,8
11,hogan,8
12,fana,7
13,brian,7
14,maleka,6
15,mentor,6
16,rob,6
17,davis,6
18,sc,6
19,pretorius,5
20,jonas,4
21,kaunda,4
22,mnonopi,4
23,advocate,3
24,sello,3
25,chairperson,3
26,hlongwa,3
27,ajay,3
28,pathlanie,3
29,mabel,2
30,petronella,2
31,type:,2
32,value:,2
33,via,2
34,dubai,2
35,duduzane,2
36,maite,2
37,mabunda,2
38,adv,2
39,mtolo,2
40,mmh,2
41,vytjie,1
42,supplementary,1
43,"org,",1
44,chairpersonsame,1
45,main,1
46,bundle,1
47,chairpersonsuch,1
48,nicole,1
49,lewis,1
50,lucille,1
51,bachler,1
52,mentor.,1
53,telkom,1
54,igwar,1
55,sharma,1
56,general,1
57,duzile,1
58,27,1
59,chairpersonyou,1
60,davies,1
61,lindiwe,1
62,zulu,1
63,nkoana,1
64,mashabane,1
65,the,1
66,minister,1
67,of,1
68,trade,1
69,and,1
70,industry,1
71,nkoana-mashabane,1
72,transnet,1
73,obert,1
74,bapile,1
75,sisulu,1
76,johnny,1
77,de,1
78,lange,1
79,kgalema,1
80,motlanthe,1
81,lakele,1
82,53,1
83,flight,1
84,date,1
85,tambo,1
86,saharanpur,1
87,village,1
88,jet,1
89,ways,1
90,pahlad,1
91,delete,1
92,brigadier,1
93,gigaba,1
94,mathebula,1
95,lakhela,1
96,becaus,1
97,mtolo/,1
98,jam,1
99,mcebisi,1
100,mcegisi,1
101,cowley,1
102,"norp,",1
103,chairpersonlegal,1
104,104,1
105,gauteng,1
