,Name,Freq
0,ms,49
1,hogan,47
2,maseko,40
3,chair,31
4,zuma,27
5,gama,23
6,ja,18
7,wells,17
8,ghama,12
9,boards,10
10,nyanda,10
11,ramos,9
12,maharaj,9
13,transnet,8
14,ghordan,8
15,mabandla,7
16,jeff,7
17,walsh,7
18,siyabonga,7
19,mokoena,6
20,radebe,6
21,barbara,5
22,motlanthe,5
23,katz,5
24,mr,5
25,sipho,5
26,pravin,4
27,"eskom,",4
28,mandela,4
29,maria,4
30,chairperson,4
31,siphiwe,4
32,gordhan,3
33,eskom,3
34,erwin,3
35,of,3
36,jacob,3
37,advocate,2
38,harris,2
39,file,2
40,benoni,2
41,gauteng,2
42,mbeki,2
43,enoch,2
44,trengove,2
45,michael,2
46,mrs,2
47,gigaba,2
48,fred,2
49,phaswana,2
50,chris,2
51,gordan,2
52,ngwana,2
53,kgadebe,2
54,directors,2
55,the,2
56,brian,2
57,maleka,2
58,morning,1
59,lynne,1
60,brown,1
61,marocha,1
62,manje,1
63,molebatse,1
64,attorneys,1
65,macheta,1
66,mattau,1
67,anne,1
68,page,1
69,steve,1
70,biko,1
71,de,1
72,klerk,1
73,walter,1
74,sisulu,1
75,tuberculosis,1
76,godongwana,1
77,wim,1
78,and,1
79,senior,1
80,counsel,1
81,firstly,1
82,cabinet,1
83,ministers,1
84,kathrada,1
85,brigitte,1
86,alec,1
87,malusi,1
88,privan,1
89,singh,1
90,telkom,1
91,galima,1
92,motlanthle,1
93,trans,1
94,werk,1
95,downing,1
96,dunator,1
97,proceed,1
98,sekotu,1
99,randall,1
100,howard,1
101,kabal,1
102,zwelinzima,1
103,vavi,1
104,christine,1
105,ramon,1
106,nunu,1
107,ntshingila,1
108,peter,1
109,moyle,1
110,ina,1
111,manuel,1
112,freight,1
113,rail,1
114,spilg,1
115,molefe,1
116,governance,1
