,Name,Freq
0,maleka,51
1,chairperson,32
2,telma,22
3,van,15
4,rooyen,15
5,chair,15
6,ms,14
7,bhobat,14
8,williams,10
9,gordhan,8
10,gupta,8
11,jonas,6
12,maseko,6
13,ja,6
14,nene,5
15,twitter,5
16,marlon,5
17,ranjeni,5
18,munusamy,5
19,general,4
20,phumla,4
21,macanda,3
22,fuzile,3
23,whitley,3
24,phillip,2
25,mokoena,2
26,peter,2
27,mogajane,2
28,dondo,2
29,tiso,2
30,blackstar,2
31,pravin,2
32,advisor,2
33,godongwana,2
34,norman,1
35,mama,1
36,sisulu,1
37,bobart,1
38,advocate,1
39,morning,1
40,good,1
41,phumza,1
42,des,1
43,lugisa,1
44,mohammed,1
45,mohamed,1
46,proceed,1
47,montalto,1
48,eleni,1
49,jeokos,1
50,mcebisi,1
51,gaswint,1
52,momo,1
53,ismail,1
54,momoniat,1
55,kay,1
56,brown,1
57,michael,1
58,sacks,1
59,monale,1
60,ratsoma,1
61,ian,1
62,minster,1
63,geswint,1
64,mzwanele,1
65,manyi,1
66,williams',1
67,ministers,1
68,gauteng,1
69,avusa,1
70,khosa,1
71,jabulani,1
72,skhakhane,1
73,rule,1
74,6.1,1
75,zwane,1
76,barbara,1
77,hogan,1
78,nathi,1
79,ncube,1
80,20,1
81,public,1
82,works,1
83,2013,1
84,donald,1
85,dubuc,1
