,Name,Freq
0,maleka,70
1,ms,45
2,williams,37
3,mantashe,36
4,chair,30
5,gupta,25
6,ja,23
7,maseko,19
8,williams',12
9,pretorius,7
10,chabane,6
11,howa,6
12,mabunda,5
13,gordhan,5
14,nazeem,5
15,hogan,4
16,chairperson,4
17,zuma,4
18,tiso,3
19,jonas,3
20,chawla,3
21,tony,3
22,duarte,3
23,sinton,3
24,paul,2
25,avusa,2
26,mokoena,2
27,barbara,2
28,public,2
29,works,2
30,blackstar,2
31,themba,2
32,phumla,2
33,lephoko,2
34,jesse,2
35,cyril,2
36,ramaphosa,2
37,enoch,2
38,godongwana,2
39,brown,2
40,malema,1
41,black,1
42,sias,1
43,pravin,1
44,proceed,1
45,zweli,1
46,momeka,1
47,mrs,1
48,the,1
49,of,1
50,dco.cs,1
51,ashu,1
52,page,1
53,afrotone,1
54,kate,1
55,hofmeyer,1
56,hogan's,1
57,siyabonga,1
58,gama,1
59,ahmed,1
60,kathrada,1
61,deputy,1
62,ministers,1
63,jessie,1
64,maxim,1
65,investments,1
66,glenco,1
67,tshabalala,1
68,mcebisi,1
69,nene,1
70,honourable,1
71,justice,1
72,raymond,1
73,zondo,1
74,johan,1
75,burger,1
76,korongwane,1
77,michael,1
78,ian,1
79,zizi,1
80,kodwa,1
81,vytjie,1
82,mento,1
83,mr,1
84,regulator,1
