,Name,Freq
0,ja,98
1,ramatlhodi,87
2,gupta,39
3,zuma,36
4,nhleko,34
5,molefe,30
6,zwane,27
7,duduzane,23
8,muofhe,22
9,saxonwold,22
10,buthelezi,19
11,nathi,15
12,chair,14
13,advocate,13
14,brian,12
15,ngubani,12
16,ajay,11
17,manyi,10
18,ramontja,9
19,mzwanele,9
20,naxana,9
21,maseko,8
22,adv,8
23,ramathlodi,7
24,msebenzi,6
25,themba,6
26,ngubane,4
27,moufhe,4
28,hanekom,4
29,jacob,4
30,van,4
31,rooyen,4
32,mbalula,4
33,moyane,4
34,ben,3
35,ms,3
36,morning,3
37,ngoako,3
38,chairperson,3
39,chabane,3
40,tambo,3
41,motlanthe,3
42,heath,3
43,venda,3
44,page,3
45,general,3
46,jabu,3
47,gordhan,3
48,pravin,3
49,fikile,3
50,mr,3
51,phumzile,3
52,pretorius,2
53,collin,2
54,edwin,2
55,joe,2
56,kgalema,2
57,seape,2
58,mzwandile,2
59,piliso,2
60,jonas,2
61,manglu,2
62,gubane,2
63,20,2
64,generals,2
65,nchabeleng,2
66,department,2
67,tom,2
68,gauteng,2
69,mlambo-ngcuka,2
70,shabangu,2
71,malele,2
72,mpetje,2
73,kennedy,1
74,tsatsawane,1
75,leslie,1
76,mkhabela,1
77,advocates,1
78,abel,1
79,wallis,1
80,rooter,1
81,tim,1
82,williams,1
83,ephraim,1
84,molandi,1
85,peter,1
86,mccaba,1
87,derrick,1
88,chris,1
89,hani,1
90,honourable,1
91,mkhathini,1
92,oliver,1
93,thambo,1
94,simons,1
95,mabitze,1
96,freddy,1
97,ganado,1
98,slovo,1
99,north,1
100,maklamba,1
101,nglobo,1
102,lindiwe,1
103,sisulu,1
104,magora,1
105,mathlodi,1
106,tony,1
107,sipa,1
108,nhlanhla,1
109,ramathlodi's,1
110,billy,1
111,ku,1
112,10,1
113,they,1
114,edward,1
115,ngwena,1
116,makla,1
117,mathla,1
118,where,1
119,mchunu,1
120,mabusa,1
121,msimane,1
122,nazrec,1
123,dr,1
124,hoover,1
125,groovin,1
126,zumas,1
127,gordhan's,1
128,counsellor,1
129,provincial,1
130,legislatures,1
131,ruben,1
132,mahlodi,1
133,samuel,1
134,letter,1
135,pardon,1
136,zuma's,1
137,limpopo,1
138,nkantla,1
139,richards,1
140,pomzile,1
141,malambo,1
142,noka,1
143,susan,1
144,shivangu,1
145,shanshedi,1
146,attorneys,1
147,ntlego,1
148,ntlasana,1
149,jiba,1
150,mosebenzi,1
151,adviser,1
152,thibedi,1
153,mlambo,1
154,mambo-ngcuka,1
155,mbeki,1
156,nathan,1
157,webber,1
158,wentzel,1
159,ministers,1
160,hods,1
161,derek,1
162,thoka,1
163,kasa,1
