,Name,Freq
0,chair,9
1,page,8
2,ms,8
3,masithela,7
4,burger,6
5,godongwana,6
6,type:,5
7,value:,5
8,mantashe,5
9,"org,",4
10,enoch,4
11,kellerman,4
12,pretorius,3
13,yasmin,3
14,buthelezi,3
15,johan,2
16,kate,2
17,howa,2
18,advocate,2
19,zwane,2
20,gwede,2
21,zinhle,1
22,mike,1
23,brown,1
24,hofmeyer,1
25,mfor,1
26,petrus,1
27,sahara,1
28,computers,1
29,chairpersonaccounts,1
30,breedenkamp,1
31,nazeem,1
32,chairpersonbank,1
33,gupta,1
34,jo,1
35,chairpersonteam,1
36,"law,",1
37,190-,1
38,chairpersonbit,1
39,chairpersonreading,1
40,morgan,1
41,bredenkamp,1
42,charles,1
43,wheeler,1
44,20,1
45,mosebenzi,1
46,kaufmann,1
