,Name,Freq
0,hogan,38
1,gigaba,30
2,mzimela,20
3,gordhan,20
4,ms,18
5,mahlangu,18
6,dakar,12
7,ja,11
8,sabelo,9
9,advocate,8
10,chair,7
11,chairperson,6
12,laughs,6
13,zuma,5
14,myeni,5
15,matona,5
16,ndhlovu,4
17,ben,4
18,martins,4
19,coetzee,4
20,jacob,3
21,nelson,3
22,mandela,3
23,laubscher,3
24,lewis,3
25,ngqula,3
26,siyabonga,3
27,gcabashe,2
28,moufhe,2
29,de,2
30,chris,2
31,bouchon,2
32,teddy,2
33,kwinana,2
34,ndlovu,2
35,sisulu,2
36,simelane,2
37,khaya,2
38,pretorius,2
39,barbara,2
40,moufhe's,1
41,zwane,1
42,mabunda,1
43,ncubane,1
44,duduzane,1
45,cheryl,1
46,ann,1
47,carolus,1
48,klerk,1
49,hani,1
50,cabinet,1
51,ministers,1
52,abel,1
53,boksburg,1
54,civic,1
55,jacky,1
56,russel,1
57,bonang,1
58,mogale,1
59,duduzile,1
60,dudu,1
61,boards,1
62,jabu,1
63,louis,1
64,rabbets,1
65,dave,1
66,walter,1
67,oliver,1
68,thambo,1
69,cyril,1
70,ramaphosa,1
71,menze,1
72,ngqulu,1
73,spencer,1
74,stuart,1
75,zizakile,1
76,helen,1
77,zille,1
78,patricia,1
79,lille,1
80,mhlangu,1
81,jabulani,1
82,george,1
83,smythe,1
84,sandra,1
85,naresh,1
86,goyal,1
87,tshediso,1
88,woolworths,1
89,russell,1
90,the,1
91,pravin,1
92,max,1
93,adv,1
94,hofmeyr,1
95,page,1
96,104,1
97,day,1
98,eskom,1
99,mento,1
