,Name,Freq
0,watson,40
1,gavin,39
2,gumede,31
3,ja,24
4,chair,16
5,leshabane,15
6,van,14
7,tonder,14
8,patrick,13
9,andries,12
10,joe,11
11,johannes,10
12,gillingham,10
13,pretorius,9
14,brian,9
15,watson's,8
16,papa,7
17,biebuyck,7
18,kgwerano,3
19,agrizzi,3
20,angelo,3
21,dyambu,2
22,kloof,2
23,adv,2
24,joseph,2
25,ximba,2
26,libanon,1
27,mine,1
28,tambo,1
29,hogan,1
30,lovells,1
31,buck,1
32,natasha,1
33,olivier,1
34,continue,1
35,jurgen,1
36,smith,1
37,mm,1
38,proceed,1
39,solomon,1
40,segale,1
41,10,1
42,sorry,1
43,seopela,1
44,gregg,1
45,lacon-allin,1
46,annexures,1
47,litler,1
48,michael,1
49,killer,1
50,colt,1
