,Name,Freq
0,zwane,24
1,chair,23
2,sinton,16
3,gupta,10
4,zuma,7
5,bredenkamp,6
6,astina,4
7,veronica,4
8,tshabalala,4
9,annexures,3
10,howa,3
11,ragawan,3
12,david,3
13,sim,3
14,kruger,3
15,ian,2
16,ms,2
17,the,2
18,nazeem,2
19,scott,2
20,govender,2
21,mantashe,2
22,page,2
23,ben,2
24,jimmy,2
25,manyi,2
26,type:,2
27,"org,",2
28,value:,2
29,pretorius,1
30,lynne,1
31,brown,1
32,ja,1
33,gordhan,1
34,minister,1
35,of,1
36,finance,1
37,kate,1
38,mosebenzi,1
39,hamish,1
40,duduzane,1
41,jonas,1
42,vytjie,1
43,mentor,1
44,themba,1
45,maseka,1
46,terry,1
47,renson,1
48,trevor,1
49,monroe,1
50,funeka,1
51,montjane,1
52,kenny,1
53,fihla,1
54,zet,1
55,house,1
56,pipe,1
57,venorthy,1
58,eskom,1
59,hannah,1
60,sadiki,1
61,enoch,1
62,godongwana,1
63,138,1
64,zurena,1
65,kellerman,1
66,chairpersonminister,1
67,chairperson,1
68,investments,1
69,maynier,1
70,chairpersonindicated,1
