,Name,Freq
0,watson,86
1,gavin,74
2,ja,45
3,van,34
4,tonder,29
5,andries,25
6,chair,18
7,pretorius,17
8,gillingham,13
9,carlos,11
10,bonifacio,10
11,patrick,9
12,agrizzi,8
13,dlamini,8
14,zyl,7
15,hoeksema,7
16,syvion,7
17,lindsay,6
18,jacques,6
19,annexures,6
20,watson's,5
21,angelo,5
22,riaan,5
23,page,5
24,greg,4
25,lacon-allin,4
26,joe,4
27,gumede,4
28,kgwetlo,4
29,ms,4
30,jumbo,4
31,gauteng,4
32,louis,4
33,pasanno,4
34,liquor,3
35,george,3
36,attorneys,3
37,peet,3
38,peter,3
39,reicher,3
40,dikani,2
41,reuben,2
42,pillay,2
43,brian,2
44,gwebu,2
45,wholesaler,2
46,jonas,2
47,caiphas,2
48,noordheuwel,2
49,tony,2
50,perry,2
51,motsoeneng,2
52,miotto,2
53,lindie,2
54,gouws,2
55,honourable,2
56,graham,2
57,richards,2
58,fitz,2
59,venter,2
60,directors,2
61,phezulu,2
62,fencing,2
63,ishmael,1
64,mncwabe,1
65,tambo,1
66,events,1
67,non,1
68,37,1
69,frozen,1
70,karin,1
71,dobert,1
72,rieka,1
73,hundermart,1
74,accountant,1
75,warrant,1
76,krugersdorp,1
77,joseph,1
78,you,1
79,smit,1
80,hlaude,1
81,walter,1
82,jele,1
83,majavu,1
84,hlaudi,1
85,longsworth,1
86,natasha,1
87,olivier,1
88,104,1
89,venter's,1
90,biebuyck,1
91,daniel,1
92,roth,1
93,christo,1
94,viljoen,1
95,family,1
96,anewco,1
97,bopa,1
98,132,1
99,antonie,1
100,wyk,1
101,137,1
102,frans,1
103,vorster,1
104,leon,1
105,141,1
106,billy,1
107,hofmeyr,1
