,Name,Freq
0,watson,91
1,gavin,77
2,gillingham,52
3,pretorius,32
4,mansell,26
5,chair,21
6,ja,20
7,nxele,20
8,petersen,19
9,gumede,16
10,mti,14
11,danny,13
12,page,13
13,hoeksma,13
14,phezulu,12
15,fencing,12
16,hm,12
17,andries,12
18,vernie,12
19,joe,11
20,van,11
21,rodenburg,10
22,riaan,10
23,patrick,9
24,tonder,9
25,michael,8
26,beta,8
27,fence,8
28,tony,8
29,perry,8
30,josephs,6
31,leshabane,6
32,richmond,5
33,nontsikelelo,5
34,basson,5
35,riekele,5
36,mark,5
37,brian,5
38,blake,5
39,mathenjwa,5
40,public,4
41,works,4
42,adriaan,4
43,vlei,4
44,taverner,4
45,xoliswa,4
46,biebuyck,4
47,seopela,4
48,oellerman,4
49,gloria,3
50,gordian,3
51,ms,3
52,syngenta,3
53,mavundla,3
54,schreiner,3
55,sharon,3
56,angelo,3
57,carlos,3
58,zach,3
59,jurgen,3
60,papa,3
61,malan,3
62,bastion,2
63,jean,2
64,duplo,2
65,bopa,2
66,ironclad,2
67,linda,2
68,jolingana,2
69,jennie,2
70,khulekani,2
71,sitole,2
72,mxele,2
73,johannes,2
74,trevor,2
75,constantia,2
76,kloof,2
77,motors,2
78,polo,2
79,modise,2
80,smit,2
81,sibeko,2
82,ngconde,2
83,balfour,2
84,smith,2
85,johan,2
86,helmand,2
87,geoff,2
88,doc,2
89,waterval,2
90,luiperds,2
91,clint,2
92,morning,1
93,bode,1
94,mesh,1
95,wa,1
96,rands,1
97,benefit,1
98,bloemfontein,1
99,jarryd,1
100,agrizzi,1
101,civils,1
102,rondenburg,1
103,hennie,1
104,viljoen,1
105,google,1
106,maps,1
107,carol,1
108,makele,1
109,day,1
110,masso,1
111,elandre,1
112,fourie,1
113,mtipoor,1
114,nontsikelo,1
115,karien,1
116,du,1
117,plessis,1
118,prande,1
119,four[spelt,1
120,grande[spelt],1
121,leopards,1
122,magagula,1
123,winnie,1
124,ngwenya,1
125,ruben,1
126,pillay,1
127,paragraph,1
128,savanna,1
129,hills,1
130,frans,1
131,vorster,1
132,bonifacio,1
133,whilst,1
134,peterson,1
135,general,1
136,xoliswa[spelt,1
137,sibeko[spelt,1
138,tambo,1
139,minister,1
140,coordinator,1
141,beeld,1
142,138,1
143,correct,1
144,greyling,1
145,spies,1
146,kwa,1
147,broederbond,1
148,stellenbosch,1
149,thloloe,1
150,wolela,1
151,w-o-l-e-l,1
152,of,1
153,blakes,1
154,travel,1
155,ryno,1
156,luipeerds,1
157,gert,1
158,der,1
159,bunk,1
160,brown,1
161,pope,1
162,mtiyou,1
163,watsonreduce,1
164,scorpions,1
165,advocate,1
166,lourens,1
167,zuid,1
168,jacobs,1
169,178,1
170,william,1
171,brandon,1
172,max,1
173,leeson,1
174,jacques,1
175,megan,1
176,amongst,1
