,Name,Freq
0,ms,55
1,williams,27
2,hogan,25
3,maleka,23
4,zuma,21
5,chair,17
6,kathrada,15
7,maseko,13
8,chairperson,12
9,gupta,11
10,jonas,10
11,gama,9
12,boards,7
13,chabane,7
14,williams',7
15,phumla,5
16,ja,4
17,the,4
18,barbara,4
19,mentor,4
20,ajay,4
21,molefe,4
22,of,3
23,eskom,3
24,godsell,3
25,maroga,3
26,kaunda,3
27,ria,3
28,phiyega,3
29,brian,3
30,cathy,3
31,mandela,3
32,mabunda,3
33,maumeka,3
34,bobby,2
35,shaik,2
36,yunus,2
37,sheik,2
38,fatima,2
39,hassin,2
40,cheryl,2
41,vytjie,2
42,minster,2
43,malusi,2
44,gigaba,2
45,zohra,2
46,hellmann,2
47,kaufmann,2
48,pretorius,2
49,bloom,2
50,themba,2
51,joubert,1
52,motlanthe,1
53,hogan's,1
54,de,1
55,beer,1
56,article,1
57,re,1
58,collins,1
59,goyal,1
60,caesar,1
61,lakela,1
62,brix,1
63,directors,1
64,transnet,1
65,gordhan,1
66,mantashe,1
67,mokwana,1
68,magubane,1
69,ben,1
70,ngubane,1
71,salim,1
72,isa,1
73,confirmed,1
74,mpho,1
75,makwana,1
76,kwana,1
77,slakwana,1
78,pahad,1
79,poplak,1
80,aerington,1
81,nafisa,1
82,page,1
83,ashu,1
84,chawla,1
85,daily,1
86,maverick,1
87,michael,1
88,katz,1
89,sally,1
90,shelton,1
91,hans,1
92,christiansen,1
93,jim,1
94,colvin,1
95,doctor,1
96,proceed,1
97,advocate,1
98,mokoena,1
99,paul,1
100,issue,1
101,morning,1
102,mcebisi,1
103,norman,1
104,sinton,1
105,[intervenes],1
106,mzwanele,1
107,manyi,1
108,inference,1
109,internal,1
110,auditor,1
111,lastly,1
112,advertising,1
113,hoffman,1
114,zuli,1
115,mumeka,1
