,Name,Freq
0,gupta,33
1,ms,24
2,ja,20
3,chair,17
4,zuma,17
5,mantashe,17
6,kaunda,15
7,saxonwold,14
8,vieri,14
9,jonas,13
10,peterson,13
11,ajay,12
12,captain,12
13,hogan,9
14,duarte,9
15,jessie,9
16,pretorius,8
17,barbara,8
18,™s,7
19,ma™,7
20,abri,7
21,gwede,6
22,johann,6
23,wyngaardt,6
24,hlongwane,5
25,sello,5
26,chairperson,5
27,general,5
28,kaunda™,4
29,mnonopi,4
30,jesse,4
31,page,4
32,mentor,4
33,maleka,3
34,mtolo,3
35,gigaba,3
36,siyabonga,3
37,cele,3
38,abri™s,3
39,kaunda™s,2
40,registrar™,2
41,mr,2
42,ntlemeza,2
43,honourable,2
44,hlongwane™,2
45,maseko,2
46,advocate,2
47,zuma™,2
48,tambo,2
49,dennis,2
50,bloom,2
51,hlengiwe,2
52,ngabadali,2
53,rob,2
54,davis,2
55,adv,2
56,paul,2
57,fana,1
58,version,1
59,jonas™s,1
60,brigadier,1
61,mentor™,1
62,mavundla,1
63,jonas™,1
64,mtolo™,1
65,mnonopi™s,1
66,let™s,1
67,hellens,1
68,feel,1
69,lutuli,1
70,house,1
71,don™,1
72,mahlamba,1
73,ndlopfu,1
74,theresa,1
75,sworn,1
76,statement,1
77,soe™s,1
78,wentzel,1
79,ﬁlow,1
80,lakela,1
81,annexure,1
82,sorry,1
83,mam,1
84,okay,1
85,the,1
86,minister,1
87,of,1
88,public,1
89,enterprises,1
90,themba,1
91,thwala,1
92,–to,1
93,not–,1
94,monday–,1
95,–and,1
96,gauteng,1
97,saxonwold™,1
98,–.,1
99,benjamin,1
100,twin,1
101,cab,1
102,vieri™s,1
103,wyngaarrdt,1
104,myself,1
105,yourself,1
106,vieri™,1
107,major,1
108,mmh,1
109,pathlane,1
110,ebrahim,1
111,patel,1
112,20,1
113,mentor?,1
114,mentor.,1
115,maseko™,1
